X,Y,OBJECTID,PROPERTY_UNIT_ID,STREET,UPDATE_DATE,X_COORD,Y_COORD,UNIT_TYPE,STATUS,ROADSEGMENTID,CIVIC_NO,UNIT,LATITUDE,LONGITUDE,PARCELID,WARD,POLL,ROLL_REFERENCE,GlobalID
-80.45808907,43.44137918,875270,2058471,MONTGOMERY RD,2023/11/25 08:41:46+00,543853.13,4809972.76,VERTICAL UNIT,ACTIVE,13265,170,1,,,50017386,10,35,301203001126700,529df2f4-fc1f-45c5-b96e-3cdcdcc32a10
-80.47962284,43.45271999,875276,4022068,CHAPEL ST,2023/11/25 08:40:19+00,542102.693,4811221.131,VERTICAL UNIT,ACTIVE,6823,44,C,,,50020619,10,25,301203000525300,875c4167-2abe-4663-8a8b-2acfcaf375b6
-80.46482385,43.43940017,875279,2023370,JACKSON AVE,2023/11/25 08:41:59+00,543309.5456,4809749.454,VERTICAL UNIT,ACTIVE,10140,4,2,,,50061193,10,35,301203000111300,612c725a-1b4f-4c40-8b4c-03f5be345e4c
-80.46991455,43.44197051,875302,2022764,BRICK ST,2023/11/25 08:40:21+00,542895.763,4810032.276,VERTICAL UNIT,ACTIVE,11697,23,7,,,50025546,10,35,301203001015000,796184fd-39c6-4842-aeef-687ce2b80703
-80.50065916,43.46337239,875321,2024603,RAITAR AVE,2023/11/30 18:06:17+00,540393.6041,4812393.744,VERTICAL UNIT,ACTIVE,1570,26,303,,,50002233,10,10,301201000616400,76cac9ce-b4c9-454a-926f-e0ce91a92d09
-80.48089829,43.46602175,875337,4003071,GUELPH ST,2023/11/25 08:42:07+00,541990.2934,4812697.748,VERTICAL UNIT,ACTIVE,10489,843,2,,,50001580,10,5,301201001212200,e87476f5-56f2-421b-ba83-3035f60e90b6
-80.48304755,43.45659074,875370,2048504,QUEEN ST N,2023/11/25 08:40:36+00,541822.941,4811649.282,VERTICAL UNIT,ACTIVE,6969,175,1606,,,50061015,10,20,301202000217000,7524d4aa-e39b-46f0-8bed-d807d73393d0
-80.48761698,43.47085603,875387,4021371,UNION ST,2023/11/25 08:40:52+00,541443.517,4813231.266,VERTICAL UNIT,ACTIVE,10439,1043,6A,,,50004364,10,5,301201000915700,25c33c9d-77db-4b63-9073-63027d35815c
-80.49264234,43.45322662,875388,4022953,COLLEGE ST,2023/11/25 08:40:19+00,541048.9744,4811270.899,VERTICAL UNIT,ACTIVE,6664,50,C,,,50000108,10,20,301202000310600,76e5df92-474a-4604-9091-a7dbe4dc1e2a
-80.48197196,43.45797901,875400,1052762,LANCASTER ST E,2023/11/25 08:40:47+00,541909,4811804,VERTICAL UNIT,ACTIVE,6971,2,404,,,50000481,10,25,301202000619470,bfa915a0-0f0d-4cf2-a1f4-891621f82a06
-80.48174665,43.45686145,875423,2023005,LANCASTER ST E,2023/11/25 08:40:27+00,541928,4811680,VERTICAL UNIT,ACTIVE,11160,36,2,,,50000606,10,25,301202000619900,c6a5581d-e838-42f5-b2e2-4c9321ed37f6
-80.49264234,43.45322662,875435,4022759,COLLEGE ST,2023/11/25 08:40:51+00,541048.9744,4811270.899,VERTICAL UNIT,ACTIVE,6664,54,B,,,50000108,10,20,301202000310600,e0510a7a-6049-4d23-b17a-58dd1376485b
-80.49062425,43.45458712,875456,2053402,COLLEGE ST,2023/11/25 08:41:16+00,541211.328,4811422.989,VERTICAL UNIT,ACTIVE,6491,119,807,,,50000225,10,20,301202000309000,7da19332-4a59-43bd-a0db-0467800b352e
-80.48028374,43.44896396,875475,2024698,WEBER ST E,2023/11/25 08:40:31+00,542051.8239,4810803.663,VERTICAL UNIT,ACTIVE,6885,136,8,,,50024375,10,25,301203000421200,2bb7b531-d0be-434e-b791-b25c9e7ffa46
-80.49654176,43.46385552,875512,2015100,MARGARET AVE,2023/11/25 08:41:44+00,540726.3506,4812449.403,VERTICAL UNIT,ACTIVE,11190,315,1710,,,50062147,10,10,301201000825497,f6a3a47f-08a7-4f6d-b35b-83fc3c041263
-80.4834177,43.45513117,875550,1020861,ELLEN ST E,2023/11/25 08:41:01+00,541794,4811487,VERTICAL UNIT,ACTIVE,11149,20,301,,,50000482,10,20,301202000612526,8cb6564d-3b25-486a-9daa-264b6f60b163
-80.49574549,43.46035812,875553,2024225,AHRENS ST W,2023/11/25 08:40:31+00,540793.114,4812061.38,VERTICAL UNIT,ACTIVE,11211,199,16,,,50003062,10,15,301201000702500,99756efe-07f9-4522-80e3-6e881db94848
-80.49654176,43.46385552,875563,2009614,MARGARET AVE,2023/11/25 08:41:36+00,540726.3506,4812449.403,VERTICAL UNIT,ACTIVE,11190,315,805,,,50062147,10,10,301201000825392,2e114a50-c7d8-483b-bc26-44ef8ebe1830
-80.49673787,43.45263968,875576,40258837,KING ST W,2023/11/25 08:42:34+00,540718.012,4811203.705,VERTICAL UNIT,ACTIVE,5901,404,614,,,55088759,10,20,301202000106142,ac9ccdc4-3be8-41d5-a38c-06d4b0e97459
-80.46613062,43.44015144,875594,1009329,KING ST E,2023/11/25 08:41:43+00,543203.26,4809832.21,VERTICAL UNIT,ACTIVE,9383,1414,1006,,,50061957,10,35,301203000110886,649f6032-c4a9-49e5-a989-a2ac286ffe65
